,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
77,71,1530.254392,5.159999999999999e-29,4.848e-09.0555.0550,42.20010.720.000000,X,1,X,0,O,5O,4,q50422049,11010,4,0,5.0,9.0,
78,71,1530.32843,6.55e-29,4.439e-09.0555.0550,44.21170.720.000000,X,1,X,0,O,5O,5,q50422049,11010,4,0,7.0,11.0,
79,71,1530.359789,8.729999999999999e-29,4.558e-09.0555.0550,42.22400.720.000000,X,1,X,0,O,5O,6,q50422049,11010,4,0,9.0,13.0,
80,71,1530.3836410000001,6.94e-32,3.623e-12.0555.0550,42.20010.720.000000,X,1,X,0,O,5Q,4,d50422049,11010,4,0,9.0,9.0,
81,71,1530.3836410000001,2.97e-31,1.551e-11.0555.0550,42.20010.720.000000,X,1,X,0,O,5Q,4,q50422049,11010,4,0,9.0,9.0,
82,71,1532.340024,1.71e-29,1.151e-09.0555.0550,42.20010.720.000000,X,1,X,0,O,5P,4,d50422049,11010,4,0,7.0,9.0,
83,71,1532.340024,8.66e-30,5.828e-10.0555.0550,42.20010.720.000000,X,1,X,0,O,5P,4,q50422049,11010,4,0,7.0,9.0,
84,71,1538.455461,1.3199999999999999e-31,7.907e-10.0347.0340,1422.49830.720.000000,X,1,X,0,Q,31R,31,d40252049,112,9,4,0.0,65.0,63.0
85,71,1538.9692619999998,1.36e-31,8.686e-10.0347.0340,1422.49830.720.000000,X,1,X,0,Q,31P,31,d40252049,112,9,4,0.0,61.0,63.0
86,71,1540.098562,1.18e-29,4.950e-09.0593.0600,16.25290.970.000000,X,1,X,0,O,3O,2,q50422049,11010,4,0,1.0,5.0,
87,71,1540.099852,2.65e-29,2.246e-09.0593.0600,18.33720.970.000000,X,1,X,0,O,3P,3,d50422049,11010,4,0,5.0,7.0,
88,71,1540.099852,1.16e-29,9.830e-10.0593.0600,18.33720.970.000000,X,1,X,0,O,3P,3,q50422049,11010,4,0,5.0,7.0,
89,71,1540.402195,2.89e-31,7.926e-10.0348.0350,1248.20130.720.000000,X,1,X,0,Q,29R,29,d40252049,112,9,4,0.0,61.0,59.0
90,71,1540.702668,4.4999999999999995e-31,2.674e-09.0347.0340,1420.25110.720.000000,X,1,X,0,Q,31Q,32,q40252049,112,9,4,0.0,65.0,65.0
91,71,1540.702668,7.29e-31,4.332e-09.0347.0340,1420.25110.720.000000,X,1,X,0,Q,31Q,32,d40252049,112,9,4,0.0,65.0,65.0
92,71,1540.704509,6.8699999999999996e-31,4.361e-09.0347.0340,1420.76310.720.000000,X,1,X,0,Q,31Q,30,d40252049,112,9,4,0.0,61.0,61.0
93,71,1540.704509,4.21e-31,2.672e-09.0347.0340,1420.76310.720.000000,X,1,X,0,Q,31Q,30,q40252049,112,9,4,0.0,61.0,61.0
94,71,1540.7085650000001,1.1e-35,6.818e-14.0347.0340,1422.49830.720.000000,X,1,X,0,Q,31Q,31,d40252049,112,9,4,0.0,63.0,63.0
95,71,1540.7085650000001,4.3e-31,2.665e-09.0347.0340,1422.49830.720.000000,X,1,X,0,Q,31Q,31,q40252049,112,9,4,0.0,63.0,63.0
96,71,1540.880801,2.97e-31,8.722e-10.0348.0350,1248.20130.720.000000,X,1,X,0,Q,29P,29,d40252049,112,9,4,0.0,57.0,59.0
