,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
117,221,2262.065563,1.596e-39,1.739e-08.0200.0200,5801.96980.200.000000,3,2,Q,24q,344440,4,3,2,1,1,0,294.0,294.0
118,221,2262.905123,1.2070000000000001e-39,1.742e-08.0214.0210,5708.45800.200.000000,3,2,Q,23q,344440,4,3,2,1,1,0,141.0,141.0
119,221,2263.709651,3.5759999999999996e-39,1.744e-08.0230.0230,5618.81770.200.000000,3,2,Q,22q,344440,4,3,2,1,1,0,270.0,270.0
120,222,2264.236109,1.8969999999999995e-36,1.240e-05.0200.0200,3140.30490.200.000000,1,0,Q,40q,344440,4,3,2,1,1,0,2916.0,2916.0
121,222,2264.312346,8.162e-31,1.190e-05.0542.0540,38.47010.760.000000,1,0,O,4q,344440,4,3,2,1,1,0,324.0,324.0
122,221,2264.479154,2.594e-39,1.746e-08.0250.0250,5533.05200.200.000000,3,2,Q,21q,344440,4,3,2,1,1,0,129.0,129.0
123,221,2265.2136379999997,7.372e-39,1.749e-08.0273.0270,5451.16390.200.000000,3,2,Q,20q,344440,4,3,2,1,1,0,246.0,246.0
124,221,2265.549769,2.2159999999999997e-33,2.117e-08.0525.0520,2389.07300.760.000000,2,1,O,5q,344440,4,3,2,1,1,0,21.0,33.0
125,222,2265.559389,3.886e-36,1.239e-05.0200.0200,2987.78740.200.000000,1,0,Q,39q,344440,4,3,2,1,1,0,2844.0,2844.0
126,221,2265.913109,5.125999999999999e-39,1.751e-08.0299.0300,5373.15640.200.000000,3,2,Q,19q,344440,4,3,2,1,1,0,117.0,117.0
127,221,2266.577573,1.3959999999999997e-38,1.754e-08.0327.0330,5299.03220.270.000000,3,2,Q,18q,344440,4,3,2,1,1,0,222.0,222.0
128,222,2266.84947,7.81e-36,1.238e-05.0200.0200,2839.01680.200.000000,1,0,Q,38q,344440,4,3,2,1,1,0,2772.0,2772.0
